0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/image/dock/English.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/image/dock/Japanese.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/image/dock/Feeling.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/image/dock/Life.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/image/dock/Contacts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/image/dock/Memory.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/image/dock/background_001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:40 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:40 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:40 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:40 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:46 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:46 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:46 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:46 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:17:42 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:17:42 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 200 1398
